file,fat tree,rail only,HyperX,DragonFly+
gpt_175B-world_size1024-tp32-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,2826480822788096,2826480822788096,1413764826271744,2828114625830912
gpt_175B-world_size1024-tp32-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,1594133096693760,1594133096693760,797255921958912,1594705002627072
gpt_175B-world_size1024-tp8-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,1295739393171456,1295739393171456,650095837851648,1318488467595264
gpt_175B-world_size1024-tp8-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,663516673482752,663516673482752,332497580265472,669427597058048
gpt_175B-world_size1024-tp8-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,366713339117568,366713339117568,183722829152256,368379895480320
gpt_175B-world_size2048-tp16-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,5212971554881536,5212971554881536,2608826729521152,5235948845580288
gpt_175B-world_size2048-tp16-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,2756619937005568,2756619937005568,1379210201440256,2762748205219840
gpt_175B-world_size2048-tp16-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,1548534911336448,1548534911336448,774817943912448,1550413376520192
gpt_175B-world_size2048-tp32-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,10602857185198080,10602857185198080,5303251232710656,10614558324473856
gpt_175B-world_size2048-tp32-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,5652973247021056,5652973247021056,2827305327730688,5656246653829120
gpt_175B-world_size2048-tp32-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,3188272359014400,3188272359014400,1594623822790656,3189419253694464
gpt_175B-world_size2048-tp8-pp16-ep1-gbs8192-mbs1-seq2048-MOE-False-GEMM-False-flash_attn-False,587883474321408,587883474321408,294395886895104,589053055991808
gpt_175B-world_size2048-tp8-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,2591567420375040,2591567420375040,1299000482783232,2637109886238720
gpt_175B-world_size2048-tp8-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,1327078494453760,1327078494453760,664704611753984,1338922915348480
gpt_175B-world_size2048-tp8-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False,733450082451456,733450082451456,367353915604992,736794897285120
