file,fat tree,rail only,HyperX,DragonFly+
gpt_175B-world_size1024-tp16-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,772388990484480,772388990484480,386194495242240,772388990484480
gpt_175B-world_size1024-tp32-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,5289727453323264,5289727453323264,2644863726661632,5289727453323264
gpt_175B-world_size1024-tp32-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,2823213216702464,2823213216702464,1411606608351232,2823213216702464
gpt_175B-world_size1024-tp32-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,1592989284827136,1592989284827136,796494642413568,1592989284827136
gpt_175B-world_size1024-tp8-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,1250241244323840,1250241244323840,625120622161920,1250241244323840
gpt_175B-world_size1024-tp8-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,651694826332160,651694826332160,325847413166080,651694826332160
gpt_175B-world_size1024-tp8-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,363380226392064,363380226392064,181690113196032,363380226392064
gpt_175B-world_size2048-tp16-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,5167016973484032,5167016973484032,2583508486742016,5167016973484032
gpt_175B-world_size2048-tp16-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,2744363400577024,2744363400577024,1372181700288512,2744363400577024
gpt_175B-world_size2048-tp16-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,1544777980968960,1544777980968960,772388990484480,1544777980968960
gpt_175B-world_size2048-tp32-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,10579454906646528,10579454906646528,5289727453323264,10579454906646528
