bin_range,fat tree,DragonFly+,HyperX
[0 - 1),5,1,2
[1 - 2),8,6,7
[2 - 5),12,9,12
[5 - 13),12,12,10
[13 - 33),12,11,14
[33 - 87),5,10,5
[87 - 226),3,5,7
[226 - 587),3,5,2
[587 - 1526),0,1,1
[1526 - 3970),0,0,0
