bin_range,fat tree,DragonFly+,HyperX
[0 - 1),0,0,0
[1 - 2),2,0,1
[2 - 5),6,3,3
[5 - 13),10,7,9
[13 - 33),13,11,12
[33 - 87),10,12,10
[87 - 226),7,10,12
[226 - 587),7,8,5
[587 - 1526),2,4,4
[1526 - 3970),1,3,2
