topology,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
Fat Tree,0.0005115929690355587,0.0005115929841378664,0.0005115931408492327,0.0005115962599338494,0.0005157597114963849,0.0007477324463470747,0.006063090545560385,0.0064345736331534046,0.008799767838943144,0.00953914179296036,0.00953914499140791,0.00954070483145012,0.009541182527694118,0.14337293857368144,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.6359866236931865,0.9999998099571654,0.9999999204328871,1.0,1.0
HyperX,0.0005777635673787055,0.0005777635952247062,0.0005777637519360726,0.0005777850728189689,0.0005778349865794054,0.0005844207395252913,0.00876401984426902,0.008772246737879835,0.012666071294865909,0.014320994311775536,0.014323227146349942,0.014354829229454085,0.014465383579171622,0.14542720999144199,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.5084190852815708,0.6531211654927773,0.6531212759684992,0.6531213555356119,0.6531213555356119
Dragonfly+,0.0009630288111840306,0.0009630288565751533,0.0009630293267293081,0.0009630324424952416,0.0009630580134537308,0.0009639930113223068,0.011848118554326841,0.011848118625592208,0.01699742035185858,0.019210269729147304,0.019210669185921677,0.02192853035657617,0.02322791539169529,0.14937177659932036,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.44800884173962763,0.538206100944119,0.754531660141119,0.7545319893865615,0.7545322262671329,0.7545322262671329
