bin_range,fat tree,DragonFly+,HyperX
[1 - 1),0,0,0
[1 - 3),1,1,1
[3 - 6),2,2,2
[6 - 13),5,5,5
[13 - 28),6,6,7
[28 - 61),12,12,12
[61 - 130),15,15,15
[130 - 278),8,8,7
[278 - 594),5,5,6
[594 - 1271),4,4,3
