bin_range,fat tree,DragonFly+,HyperX
[1 - 1),1,1,1
[1 - 3),5,5,5
[3 - 6),7,7,7
[6 - 13),11,11,12
[13 - 28),15,15,14
[28 - 61),11,11,11
[61 - 130),5,5,5
[130 - 278),3,3,3
[278 - 594),1,1,1
[594 - 1271),0,0,0
