bin_range,fat tree,DragonFly+,HyperX
[1 - 1),1,1,1
[1 - 3),1,1,1
[3 - 6),5,5,5
[6 - 13),7,7,8
[13 - 28),11,11,12
[28 - 61),14,14,13
[61 - 130),10,10,9
[130 - 278),5,5,5
[278 - 594),3,3,4
[594 - 1271),1,1,0
