file,fat tree,DragonFly+,HyperX
gpt_7B-world_size512-tp32-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,88693682987008,88693682987008,80630620897280
gpt_22B-world_size512-tp8-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,81531629475840,81531629475840,81531629475840
gpt_13B-world_size2048-tp8-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,82805565423616,82805565423616,82805565423616
gpt_7B-world_size1024-tp8-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,84401486573568,84401486573568,84401486573568
gpt_13B-world_size512-tp16-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,96396210834176,96396210834176,87632918940160
gpt_175B-world_size512-tp8-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,90845056598016,90845056598016,90845056598016
gpt_22B-world_size1024-tp8-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,90914832781312,90914832781312,90914832781312
llama_65B-world_size512-tp8-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_tp_only,92027570620416,92027570620416,92027570620416
gpt_7B-world_size2048-tp8-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,97521235927040,97521235927040,97521235927040
llama_65B-world_size1024-tp8-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_tp_only,105136045686784,105136045686784,105136045686784
gpt_13B-world_size1024-tp16-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,121580280053760,121580280053760,110527527321600
gpt_22B-world_size2048-tp8-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,111051065524224,111051065524224,111051065524224
gpt_7B-world_size512-tp16-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,122807145931008,122807145931008,111642859937280
gpt_13B-world_size512-tp32-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,125521990967296,125521990967296,114110900879360
gpt_13B-world_size1024-tp8-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,115714474127360,115714474127360,115714474127360
gpt_22B-world_size512-tp16-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,132786291182336,132786291182336,120714810165760
gpt_7B-world_size1024-tp16-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,142808030582272,142808030582272,129825482347520
gpt_13B-world_size2048-tp8-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,131818210729984,131818210729984,131818210729984
gpt_7B-world_size512-tp32-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,147337652456192,147337652456192,133943320414720
llama_65B-world_size512-tp16-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_tp_only,154108310568960,154108310568960,140098464153600
gpt_22B-world_size1024-tp16-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,162955788779520,162955788779520,148141626163200
llama_405B-world_size512-tp8-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_tp_only,152589523222528,152589523222528,152589523222528
gpt_13B-world_size512-tp16-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,167900315328768,167900315328768,152636650298880
gpt_22B-world_size512-tp32-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,168214668238848,168214668238848,152922425671680
gpt_7B-world_size2048-tp16-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,171794970378240,171794970378240,156177245798400
gpt_7B-world_size1024-tp32-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,177387365974016,177387365974016,161261241794560
gpt_175B-world_size512-tp8-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,162923706583040,162923706583040,162923706583040
gpt_22B-world_size1024-tp8-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,163063258951680,163063258951680,163063258951680
gpt_7B-world_size2048-tp8-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,168802973147136,168802973147136,168802973147136
llama_65B-world_size512-tp8-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_tp_only,172806923884544,172806923884544,172806923884544
gpt_13B-world_size1024-tp16-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,192792421668352,192792421668352,175265837880320
gpt_13B-world_size512-tp32-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,198846058056448,198846058056448,180769143687680
gpt_175B-world_size1024-tp8-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,181690113196032,181690113196032,181690113196032
gpt_22B-world_size2048-tp8-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,181829665562624,181829665562624,181829665562624
llama_65B-world_size1024-tp8-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_tp_only,184055141240832,184055141240832,184055141240832
llama_65B-world_size2048-tp8-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_tp_only,210272091373568,210272091373568,210272091373568
gpt_22B-world_size512-tp16-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,235907596624128,235907596624128,214461451476480
gpt_13B-world_size2048-tp16-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,243160560107520,243160560107520,221055054643200
gpt_22B-world_size1024-tp8-pp8-ep1-gbs8192-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,221207905959936,221207905959936,221207905959936
gpt_7B-world_size1024-tp16-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,245614291862016,245614291862016,223285719874560
gpt_13B-world_size1024-tp32-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,251043981934592,251043981934592,228221801758720
gpt_7B-world_size512-tp32-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,252992590684416,252992590684416,229993264258560
gpt_13B-world_size2048-tp8-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,231428948254720,231428948254720,231428948254720
gpt_175B-world_size512-tp16-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,265508715479040,265508715479040,241371559526400
gpt_22B-world_size1024-tp16-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,265572582364672,265572582364672,241429620331520
llama_65B-world_size512-tp16-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_tp_only,268223156554496,268223156554496,243839233231360
gpt_22B-world_size512-tp32-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,273818376981248,273818376981248,248925797255680
gpt_7B-world_size2048-tp16-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,285616061164544,285616061164544,259650964695040
gpt_7B-world_size1024-tp32-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,294675304912384,294675304912384,267886640829440
llama_65B-world_size1024-tp16-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_tp_only,308216621137920,308216621137920,280196928307200
llama_405B-world_size512-tp8-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_tp_only,281510085658624,281510085658624,281510085658624
llama_65B-world_size512-tp32-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_tp_only,318079658614784,318079658614784,289163326013440
gpt_175B-world_size2048-tp8-pp16-ep1-gbs8192-mbs1-seq2048-MOE-False-GEMM-False-flash_attn-False_tp_only,292772155490304,292772155490304,292772155490304
gpt_22B-world_size2048-tp16-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,325911577559040,325911577559040,296283252326400
gpt_7B-world_size4096-tp4-pp1-ep1-gbs8192-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,296649800908800,296649800908800,296649800908800
llama_405B-world_size1024-tp8-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_tp_only,305179046445056,305179046445056,305179046445056
gpt_13B-world_size1024-tp16-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,335800630657536,335800630657536,305273300597760
gpt_22B-world_size1024-tp32-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,336429336477696,336429336477696,305844851343360
gpt_175B-world_size512-tp8-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,312560311080960,312560311080960,312560311080960
gpt_13B-world_size512-tp32-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,345645039722752,345645039722752,314222763384320
gpt_7B-world_size2048-tp32-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,354774731948032,354774731948032,322522483589120
gpt_175B-world_size1024-tp8-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,325847413166080,325847413166080,325847413166080
gpt_22B-world_size2048-tp8-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,326126517903360,326126517903360,326126517903360
gpt_13B-world_size512-tp16-pp2-ep1-gbs4096-mbs1-seq2048-MOE-False-GEMM-False-flash_attn-False_tp_only,378370932580608,378370932580608,343973575073280
llama_65B-world_size1024-tp8-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_tp_only,345613847769088,345613847769088,345613847769088
gpt_13B-world_size2048-tp16-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,385584843336704,385584843336704,350531675760640
gpt_13B-world_size1024-tp32-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,397692116112896,397692116112896,361538287375360
gpt_175B-world_size2048-tp8-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,363380226392064,363380226392064,363380226392064
llama_65B-world_size2048-tp8-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_tp_only,368110282481664,368110282481664,368110282481664
llama_405B-world_size512-tp16-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_tp_only,445219610542080,445219610542080,404745100492800
gpt_175B-world_size512-tp16-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,471687459474176,471687459474176,428806781340160
gpt_22B-world_size1024-tp16-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_tp_only,471815193248256,471815193248256,428922902952960
