topology,point_idx,load,cdf_percent,num_edges,num_zeros,first_positive_load,global_x_start
Fat Tree,0,4194304.0,0.0,9252,6144,335544320.0,4194304.0
Fat Tree,1,335544320.0,0.0,9252,6144,335544320.0,4194304.0
Fat Tree,2,335544320.0,66.41807176826632,9252,6144,335544320.0,4194304.0
Fat Tree,3,335544320.0,66.42888024210981,9252,6144,335544320.0,4194304.0
Fat Tree,4,335544320.0,66.43968871595331,9252,6144,335544320.0,4194304.0
Fat Tree,5,335544320.0,66.45049718979679,9252,6144,335544320.0,4194304.0
Fat Tree,6,335544320.0,66.46130566364029,9252,6144,335544320.0,4194304.0
Fat Tree,7,335544320.0,66.47211413748379,9252,6144,335544320.0,4194304.0
Fat Tree,8,335544320.0,66.48292261132728,9252,6144,335544320.0,4194304.0
Fat Tree,9,335544320.0,66.49373108517077,9252,6144,335544320.0,4194304.0
Fat Tree,10,335544320.0,66.50453955901426,9252,6144,335544320.0,4194304.0
Fat Tree,11,335544320.0,66.51534803285776,9252,6144,335544320.0,4194304.0
Fat Tree,12,335544320.0,66.52615650670126,9252,6144,335544320.0,4194304.0
Fat Tree,13,335544320.0,66.53696498054474,9252,6144,335544320.0,4194304.0
Fat Tree,14,335544320.0,66.54777345438823,9252,6144,335544320.0,4194304.0
Fat Tree,15,335544320.0,66.55858192823173,9252,6144,335544320.0,4194304.0
Fat Tree,16,335544320.0,66.56939040207523,9252,6144,335544320.0,4194304.0
Fat Tree,17,335544320.0,66.58019887591871,9252,6144,335544320.0,4194304.0
Fat Tree,18,335544320.0,66.59100734976221,9252,6144,335544320.0,4194304.0
Fat Tree,19,335544320.0,66.6018158236057,9252,6144,335544320.0,4194304.0
Fat Tree,20,335544320.0,66.6126242974492,9252,6144,335544320.0,4194304.0
Fat Tree,21,335544320.0,66.62343277129268,9252,6144,335544320.0,4194304.0
Fat Tree,22,335544320.0,66.63424124513618,9252,6144,335544320.0,4194304.0
Fat Tree,23,335544320.0,66.64504971897968,9252,6144,335544320.0,4194304.0
Fat Tree,24,335544320.0,66.65585819282317,9252,6144,335544320.0,4194304.0
Fat Tree,25,335544320.0,66.66666666666666,9252,6144,335544320.0,4194304.0
Fat Tree,26,335544320.0,66.67747514051015,9252,6144,335544320.0,4194304.0
Fat Tree,27,335544320.0,66.68828361435365,9252,6144,335544320.0,4194304.0
Fat Tree,28,335544320.0,66.69909208819715,9252,6144,335544320.0,4194304.0
Fat Tree,29,335544320.0,66.70990056204063,9252,6144,335544320.0,4194304.0
Fat Tree,30,335544320.0,66.72070903588413,9252,6144,335544320.0,4194304.0
Fat Tree,31,335544320.0,66.73151750972762,9252,6144,335544320.0,4194304.0
Fat Tree,32,335544320.0,66.74232598357112,9252,6144,335544320.0,4194304.0
Fat Tree,33,335544320.0,66.7531344574146,9252,6144,335544320.0,4194304.0
Fat Tree,34,978037376.0,66.7639429312581,9252,6144,335544320.0,4194304.0
Fat Tree,35,978037376.0,66.7747514051016,9252,6144,335544320.0,4194304.0
Fat Tree,36,978037376.0,66.7855598789451,9252,6144,335544320.0,4194304.0
Fat Tree,37,978037376.0,66.79636835278858,9252,6144,335544320.0,4194304.0
Fat Tree,38,978037376.0,66.80717682663207,9252,6144,335544320.0,4194304.0
Fat Tree,39,978037376.0,66.81798530047557,9252,6144,335544320.0,4194304.0
Fat Tree,40,978037376.0,66.82879377431907,9252,6144,335544320.0,4194304.0
Fat Tree,41,978037376.0,66.83960224816255,9252,6144,335544320.0,4194304.0
Fat Tree,42,978037376.0,66.85041072200605,9252,6144,335544320.0,4194304.0
Fat Tree,43,978037376.0,66.86121919584954,9252,6144,335544320.0,4194304.0
Fat Tree,44,978037376.0,66.87202766969304,9252,6144,335544320.0,4194304.0
Fat Tree,45,978037376.0,66.88283614353652,9252,6144,335544320.0,4194304.0
Fat Tree,46,978037376.0,66.89364461738002,9252,6144,335544320.0,4194304.0
Fat Tree,47,978037376.0,66.90445309122352,9252,6144,335544320.0,4194304.0
Fat Tree,48,978037376.0,66.91526156506701,9252,6144,335544320.0,4194304.0
Fat Tree,49,978037376.0,66.9260700389105,9252,6144,335544320.0,4194304.0
Fat Tree,50,978037376.0,66.93687851275399,9252,6144,335544320.0,4194304.0
Fat Tree,51,978037376.0,66.94768698659749,9252,6144,335544320.0,4194304.0
Fat Tree,52,978037376.0,66.95849546044099,9252,6144,335544320.0,4194304.0
Fat Tree,53,978037376.0,66.96930393428447,9252,6144,335544320.0,4194304.0
Fat Tree,54,978037376.0,66.98011240812797,9252,6144,335544320.0,4194304.0
Fat Tree,55,978037376.0,66.99092088197146,9252,6144,335544320.0,4194304.0
Fat Tree,56,978037376.0,67.00172935581496,9252,6144,335544320.0,4194304.0
Fat Tree,57,978037376.0,67.01253782965844,9252,6144,335544320.0,4194304.0
Fat Tree,58,978037376.0,67.02334630350194,9252,6144,335544320.0,4194304.0
Fat Tree,59,978037376.0,67.03415477734544,9252,6144,335544320.0,4194304.0
Fat Tree,60,978037376.0,67.04496325118893,9252,6144,335544320.0,4194304.0
Fat Tree,61,978037376.0,67.05577172503241,9252,6144,335544320.0,4194304.0
Fat Tree,62,978037376.0,67.06658019887591,9252,6144,335544320.0,4194304.0
Fat Tree,63,978037376.0,67.07738867271941,9252,6144,335544320.0,4194304.0
Fat Tree,64,978037376.0,67.0881971465629,9252,6144,335544320.0,4194304.0
Fat Tree,65,978037376.0,67.09900562040639,9252,6144,335544320.0,4194304.0
Fat Tree,66,978037376.0,67.10981409424988,9252,6144,335544320.0,4194304.0
Fat Tree,67,978037376.0,67.12062256809338,9252,6144,335544320.0,4194304.0
Fat Tree,68,978037376.0,67.13143104193688,9252,6144,335544320.0,4194304.0
Fat Tree,69,978037376.0,67.14223951578036,9252,6144,335544320.0,4194304.0
Fat Tree,70,978037376.0,67.15304798962386,9252,6144,335544320.0,4194304.0
Fat Tree,71,978037376.0,67.16385646346735,9252,6144,335544320.0,4194304.0
Fat Tree,72,978037376.0,67.17466493731085,9252,6144,335544320.0,4194304.0
Fat Tree,73,978037376.0,67.18547341115433,9252,6144,335544320.0,4194304.0
Fat Tree,74,978037376.0,67.19628188499784,9252,6144,335544320.0,4194304.0
Fat Tree,75,978037376.0,67.20709035884134,9252,6144,335544320.0,4194304.0
Fat Tree,76,978037376.0,67.21789883268482,9252,6144,335544320.0,4194304.0
Fat Tree,77,978037376.0,67.22870730652832,9252,6144,335544320.0,4194304.0
Fat Tree,78,978037376.0,67.23951578037182,9252,6144,335544320.0,4194304.0
Fat Tree,79,978037376.0,67.25032425421531,9252,6144,335544320.0,4194304.0
Fat Tree,80,978037376.0,67.2611327280588,9252,6144,335544320.0,4194304.0
Fat Tree,81,978037376.0,67.2719412019023,9252,6144,335544320.0,4194304.0
Fat Tree,82,978037376.0,67.28274967574579,9252,6144,335544320.0,4194304.0
Fat Tree,83,978037376.0,67.29355814958929,9252,6144,335544320.0,4194304.0
Fat Tree,84,978037376.0,67.30436662343277,9252,6144,335544320.0,4194304.0
Fat Tree,85,978037376.0,67.31517509727627,9252,6144,335544320.0,4194304.0
Fat Tree,86,978037376.0,67.32598357111976,9252,6144,335544320.0,4194304.0
Fat Tree,87,978037376.0,67.33679204496326,9252,6144,335544320.0,4194304.0
Fat Tree,88,978037376.0,67.34760051880674,9252,6144,335544320.0,4194304.0
Fat Tree,89,978037376.0,67.35840899265024,9252,6144,335544320.0,4194304.0
Fat Tree,90,978037376.0,67.36921746649374,9252,6144,335544320.0,4194304.0
Fat Tree,91,978037376.0,67.38002594033723,9252,6144,335544320.0,4194304.0
Fat Tree,92,978037376.0,67.39083441418072,9252,6144,335544320.0,4194304.0
Fat Tree,93,978037376.0,67.40164288802421,9252,6144,335544320.0,4194304.0
Fat Tree,94,978037376.0,67.41245136186771,9252,6144,335544320.0,4194304.0
Fat Tree,95,978037376.0,67.4232598357112,9252,6144,335544320.0,4194304.0
Fat Tree,96,978037376.0,67.43406830955469,9252,6144,335544320.0,4194304.0
Fat Tree,97,978037376.0,67.44487678339819,9252,6144,335544320.0,4194304.0
Fat Tree,98,978037376.0,67.45568525724168,9252,6144,335544320.0,4194304.0
Fat Tree,99,978037376.0,67.46649373108518,9252,6144,335544320.0,4194304.0
Fat Tree,100,978037376.0,67.47730220492866,9252,6144,335544320.0,4194304.0
Fat Tree,101,978037376.0,67.48811067877216,9252,6144,335544320.0,4194304.0
Fat Tree,102,978037376.0,67.49891915261566,9252,6144,335544320.0,4194304.0
Fat Tree,103,978037376.0,67.50972762645915,9252,6144,335544320.0,4194304.0
Fat Tree,104,978037376.0,67.52053610030264,9252,6144,335544320.0,4194304.0
Fat Tree,105,978037376.0,67.53134457414613,9252,6144,335544320.0,4194304.0
Fat Tree,106,978037376.0,67.54215304798963,9252,6144,335544320.0,4194304.0
Fat Tree,107,978037376.0,67.55296152183313,9252,6144,335544320.0,4194304.0
Fat Tree,108,978037376.0,67.56376999567661,9252,6144,335544320.0,4194304.0
Fat Tree,109,978037376.0,67.5745784695201,9252,6144,335544320.0,4194304.0
Fat Tree,110,978037376.0,67.5853869433636,9252,6144,335544320.0,4194304.0
Fat Tree,111,978037376.0,67.5961954172071,9252,6144,335544320.0,4194304.0
Fat Tree,112,978037376.0,67.60700389105058,9252,6144,335544320.0,4194304.0
Fat Tree,113,978037376.0,67.61781236489408,9252,6144,335544320.0,4194304.0
Fat Tree,114,978037376.0,67.62862083873758,9252,6144,335544320.0,4194304.0
Fat Tree,115,978037376.0,67.63942931258107,9252,6144,335544320.0,4194304.0
Fat Tree,116,978037376.0,67.65023778642455,9252,6144,335544320.0,4194304.0
Fat Tree,117,978037376.0,67.66104626026805,9252,6144,335544320.0,4194304.0
Fat Tree,118,978037376.0,67.67185473411155,9252,6144,335544320.0,4194304.0
Fat Tree,119,978037376.0,67.68266320795504,9252,6144,335544320.0,4194304.0
Fat Tree,120,978037376.0,67.69347168179853,9252,6144,335544320.0,4194304.0
Fat Tree,121,978037376.0,67.70428015564202,9252,6144,335544320.0,4194304.0
Fat Tree,122,978037376.0,67.71508862948552,9252,6144,335544320.0,4194304.0
Fat Tree,123,978037376.0,67.72589710332902,9252,6144,335544320.0,4194304.0
