bin_range,fat tree,DragonFly+,HyperX
[1 - 3),1,2,2
[3 - 6),5,5,5
[6 - 13),7,7,7
[13 - 27),12,12,13
[27 - 58),13,13,13
[58 - 124),12,11,10
[124 - 264),5,6,6
[264 - 564),3,3,3
[564 - 1203),1,1,1
[1203 - 2566),0,0,0
