bin_range,fat tree,DragonFly+,HyperX
[1 - 3),1,1,1
[3 - 6),2,2,2
[6 - 13),4,4,4
[13 - 27),7,7,8
[27 - 58),11,11,12
[58 - 124),14,14,13
[124 - 264),10,10,9
[264 - 564),5,5,5
[564 - 1203),3,3,4
[1203 - 2566),1,1,0
