bin_range,fat tree,DragonFly+,HyperX
[1 - 3),0,0,0
[3 - 6),1,1,1
[6 - 13),2,2,2
[13 - 27),5,4,5
[27 - 58),7,8,7
[58 - 124),12,12,14
[124 - 264),13,13,12
[264 - 564),9,9,8
[564 - 1203),5,5,6
[1203 - 2566),4,4,3
