bin_range,fat tree,DragonFly+,HyperX
[172 - 257),4,0,0
[257 - 385),30,0,14
[385 - 576),10,14,26
[576 - 861),3,26,14
[861 - 1288),3,14,3
[1288 - 1928),0,0,3
[1928 - 2885),0,6,0
[2885 - 4316),0,0,0
[4316 - 6458),0,0,0
[6458 - 9664),0,0,0
