bin_range,fat tree,DragonFly+,HyperX
[172 - 257),0,0,0
[257 - 385),0,0,0
[385 - 576),0,0,10
[576 - 861),20,10,16
[861 - 1288),26,16,19
[1288 - 1928),3,16,7
[1928 - 2885),6,10,6
[2885 - 4316),3,3,0
[4316 - 6458),0,3,0
[6458 - 9664),0,0,0
