bin_range,fat tree,DragonFly+,HyperX
[172 - 257),0,0,0
[257 - 385),0,0,0
[385 - 576),0,0,0
[576 - 861),0,0,0
[861 - 1288),0,0,13
[1288 - 1928),0,10,23
[1928 - 2885),26,16,12
[2885 - 4316),19,19,3
[4316 - 6458),7,6,6
[6458 - 9664),6,7,1
