topology,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
Fat Tree,0.00023962652227817709,0.00023962652227817709,0.00023962652227817709,0.00023962729051096794,0.00032782214981082034,0.00032782322748850507,0.010839143818767827,0.01107195420079442,0.011072062044635352,0.036483822284828625,0.036483822284828625,0.036484622946812116,0.05347205710159799,0.1858270534923293,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.8173884810001402,1.0,1.0,1.0,1.0
HyperX,0.0002801539723097887,0.0002801539723097887,0.0002801539723097887,0.0002801539723097887,0.0002801549435860249,0.0002801549435860249,0.015116525121313586,0.01511652696722406,0.01511652696722406,0.04567076179992712,0.04567085629706731,0.04986424463693702,0.0675586689135735,0.1940644824909957,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7517220838825579,0.8189323638294086,0.8189323638294086,0.8189323638294086,0.8189323638294086
Dragonfly+,0.000466941281516065,0.000466941281516065,0.000466941281516065,0.000466941281516065,0.00046694225279230123,0.00046694225279230123,0.019501950848630965,0.019501952694541434,0.019501952694541434,0.05895196360616889,0.05895196360616889,0.06312437537200177,0.08222861289828182,0.20666325677467495,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7234270700556202,0.7656571352805696,0.8660898030088038,0.8660898030088038,0.8660898030088038,0.8660898030088038
