topology,point_idx,load,cdf_percent,num_edges,num_zeros,first_positive_load,global_x_start
Fat Tree,0,18239488.0,0.0,9252,6144,182394880.0,18239488.0
Fat Tree,1,182394880.0,0.0,9252,6144,182394880.0,18239488.0
Fat Tree,2,182394880.0,66.41807176826632,9252,6144,182394880.0,18239488.0
Fat Tree,3,182394880.0,66.42888024210981,9252,6144,182394880.0,18239488.0
Fat Tree,4,182394880.0,66.43968871595331,9252,6144,182394880.0,18239488.0
Fat Tree,5,182394880.0,66.45049718979679,9252,6144,182394880.0,18239488.0
Fat Tree,6,182394880.0,66.46130566364029,9252,6144,182394880.0,18239488.0
Fat Tree,7,182394880.0,66.47211413748379,9252,6144,182394880.0,18239488.0
Fat Tree,8,182394880.0,66.48292261132728,9252,6144,182394880.0,18239488.0
Fat Tree,9,182394880.0,66.49373108517077,9252,6144,182394880.0,18239488.0
Fat Tree,10,182394880.0,66.50453955901426,9252,6144,182394880.0,18239488.0
Fat Tree,11,182394880.0,66.51534803285776,9252,6144,182394880.0,18239488.0
Fat Tree,12,182394880.0,66.52615650670126,9252,6144,182394880.0,18239488.0
Fat Tree,13,182394880.0,66.53696498054474,9252,6144,182394880.0,18239488.0
Fat Tree,14,182394880.0,66.54777345438823,9252,6144,182394880.0,18239488.0
Fat Tree,15,182394880.0,66.55858192823173,9252,6144,182394880.0,18239488.0
Fat Tree,16,182394880.0,66.56939040207523,9252,6144,182394880.0,18239488.0
Fat Tree,17,182394880.0,66.58019887591871,9252,6144,182394880.0,18239488.0
Fat Tree,18,182394880.0,66.59100734976221,9252,6144,182394880.0,18239488.0
Fat Tree,19,182394880.0,66.6018158236057,9252,6144,182394880.0,18239488.0
Fat Tree,20,182394880.0,66.6126242974492,9252,6144,182394880.0,18239488.0
Fat Tree,21,182394880.0,66.62343277129268,9252,6144,182394880.0,18239488.0
Fat Tree,22,182394880.0,66.63424124513618,9252,6144,182394880.0,18239488.0
Fat Tree,23,182394880.0,66.64504971897968,9252,6144,182394880.0,18239488.0
Fat Tree,24,182394880.0,66.65585819282317,9252,6144,182394880.0,18239488.0
Fat Tree,25,182394880.0,66.66666666666666,9252,6144,182394880.0,18239488.0
Fat Tree,26,182394880.0,66.67747514051015,9252,6144,182394880.0,18239488.0
Fat Tree,27,182394880.0,66.68828361435365,9252,6144,182394880.0,18239488.0
Fat Tree,28,182394880.0,66.69909208819715,9252,6144,182394880.0,18239488.0
Fat Tree,29,182394880.0,66.70990056204063,9252,6144,182394880.0,18239488.0
Fat Tree,30,182394880.0,66.72070903588413,9252,6144,182394880.0,18239488.0
Fat Tree,31,182394880.0,66.73151750972762,9252,6144,182394880.0,18239488.0
Fat Tree,32,182394880.0,66.74232598357112,9252,6144,182394880.0,18239488.0
Fat Tree,33,182394880.0,66.7531344574146,9252,6144,182394880.0,18239488.0
Fat Tree,34,182394880.0,66.7639429312581,9252,6144,182394880.0,18239488.0
Fat Tree,35,182394880.0,66.7747514051016,9252,6144,182394880.0,18239488.0
Fat Tree,36,182394880.0,66.7855598789451,9252,6144,182394880.0,18239488.0
Fat Tree,37,182394880.0,66.79636835278858,9252,6144,182394880.0,18239488.0
Fat Tree,38,182394880.0,66.80717682663207,9252,6144,182394880.0,18239488.0
Fat Tree,39,182394880.0,66.81798530047557,9252,6144,182394880.0,18239488.0
Fat Tree,40,182394880.0,66.82879377431907,9252,6144,182394880.0,18239488.0
Fat Tree,41,182394880.0,66.83960224816255,9252,6144,182394880.0,18239488.0
Fat Tree,42,182394880.0,66.85041072200605,9252,6144,182394880.0,18239488.0
Fat Tree,43,182394880.0,66.86121919584954,9252,6144,182394880.0,18239488.0
Fat Tree,44,182394880.0,66.87202766969304,9252,6144,182394880.0,18239488.0
Fat Tree,45,182394880.0,66.88283614353652,9252,6144,182394880.0,18239488.0
Fat Tree,46,182394880.0,66.89364461738002,9252,6144,182394880.0,18239488.0
Fat Tree,47,182394880.0,66.90445309122352,9252,6144,182394880.0,18239488.0
Fat Tree,48,182394880.0,66.91526156506701,9252,6144,182394880.0,18239488.0
Fat Tree,49,182394880.0,66.9260700389105,9252,6144,182394880.0,18239488.0
Fat Tree,50,182394880.0,66.93687851275399,9252,6144,182394880.0,18239488.0
Fat Tree,51,182394880.0,66.94768698659749,9252,6144,182394880.0,18239488.0
Fat Tree,52,182394880.0,66.95849546044099,9252,6144,182394880.0,18239488.0
Fat Tree,53,182394880.0,66.96930393428447,9252,6144,182394880.0,18239488.0
Fat Tree,54,182394880.0,66.98011240812797,9252,6144,182394880.0,18239488.0
Fat Tree,55,182394880.0,66.99092088197146,9252,6144,182394880.0,18239488.0
Fat Tree,56,182394880.0,67.00172935581496,9252,6144,182394880.0,18239488.0
Fat Tree,57,182394880.0,67.01253782965844,9252,6144,182394880.0,18239488.0
Fat Tree,58,182394880.0,67.02334630350194,9252,6144,182394880.0,18239488.0
Fat Tree,59,182394880.0,67.03415477734544,9252,6144,182394880.0,18239488.0
Fat Tree,60,182394880.0,67.04496325118893,9252,6144,182394880.0,18239488.0
Fat Tree,61,182394880.0,67.05577172503241,9252,6144,182394880.0,18239488.0
Fat Tree,62,182394880.0,67.06658019887591,9252,6144,182394880.0,18239488.0
Fat Tree,63,182394880.0,67.07738867271941,9252,6144,182394880.0,18239488.0
Fat Tree,64,182394880.0,67.0881971465629,9252,6144,182394880.0,18239488.0
