world_size,topology,value,count,pct_of_topology_nonzero,total_nonzero_topology,num_files_topology
1024,Dragonfly+,1.0,51712,26.82602921646746,192768,55
1024,Dragonfly+,4.0,28416,14.741035856573706,192768,55
1024,Dragonfly+,5.0,112640,58.432934926958836,192768,55
1024,Fat Tree,1.0,51712,26.82602921646746,192768,55
1024,Fat Tree,2.0,103936,53.917662682602916,192768,55
1024,Fat Tree,4.0,4608,2.3904382470119523,192768,55
1024,Fat Tree,6.0,32512,16.865869853917662,192768,55
1024,HyperX,1.0,51712,26.82602921646746,192768,55
1024,HyperX,3.0,124544,64.6082337317397,192768,55
1024,HyperX,4.0,15744,8.167330677290837,192768,55
1024,HyperX,5.0,768,0.398406374501992,192768,55
