world_size,topology,value,count,pct_of_topology_nonzero,total_nonzero_topology,num_files_topology
512,Dragonfly+,1.0,26304,26.845199216198562,97984,56
512,Dragonfly+,4.0,14656,14.95754408883083,97984,56
512,Dragonfly+,5.0,57024,58.19725669497061,97984,56
512,Fat Tree,1.0,26304,26.845199216198562,97984,56
512,Fat Tree,2.0,69312,70.73807968647942,97984,56
512,Fat Tree,4.0,2368,2.4167210973220117,97984,56
512,HyperX,1.0,26304,26.845199216198562,97984,56
512,HyperX,3.0,62592,63.87981711299804,97984,56
512,HyperX,4.0,8320,8.491182233834095,97984,56
512,HyperX,5.0,768,0.7838014369693012,97984,56
